x,y,x-1000,y-1000
0.060857152,0.006973251,60.85715167,6.973251084
-0.114745917,-0.031154426,-114.7459168,-31.1544262
-0.022793404,-0.034026708,-22.79340443,-34.02670807
-0.011388959,0.007108951,-11.38895863,7.108951426
0.116512531,0.080385699,116.5125307,80.38569929
-0.020415752,-0.026284206,-20.41575192,-26.28420563
-0.071075082,0.002513584,-71.07508229,2.513584037
-0.065459015,0.041450773,-65.45901484,41.45077293
-0.148190236,0.043367824,-148.1902362,43.36782433
0.071861081,0.068287895,71.86108095,68.28789492
0.196402429,-0.041183427,196.402429,-41.18342666
-0.194783547,0.01741273,-194.7835466,17.41272998
0.133458342,0.018953924,133.4583424,18.95392397
0.164990655,0.055929703,164.9906548,55.92970345
0.077144494,-0.010761275,77.14449377,-10.76127489
0.018440136,0.066973259,18.44013647,66.97325949
0.128740484,0.030163958,128.7404839,30.16395776
-0.075835427,-0.030693371,-75.83542718,-30.69337077
0.010271862,0.159969925,10.27186161,159.969925
0.077074211,0.021633892,77.0742108,21.63389199
-0.038668644,0.043801078,-38.66864403,43.80107846
-0.014852493,0.052040584,-14.85249277,52.04058432
0.05444609,0.075290626,54.44608977,75.2906259
0.039205372,-0.026678923,39.20537184,-26.67892324
-0.047475256,0.026056173,-47.47525639,26.05617346
0.052790439,0.112092912,52.790439,112.0929119
-1.19E-05,-0.053146493,-0.011941736,-53.14649316
-0.096908113,-0.034290371,-96.9081133,-34.29037083
-0.093278063,0.053471795,-93.27806287,53.4717954
-0.112733878,0.007299494,-112.7338779,7.299493718
-0.08400844,0.097506457,-84.00844039,97.5064573
0.087748832,0.054553602,87.74883198,54.55360218
0.038544344,-0.004494918,38.54434387,-4.494917653
0.100105782,-0.051530159,100.1057818,-51.53015851
0.034165454,-0.012305474,34.16545449,-12.30547403
0.025433359,-0.050734242,25.43335904,-50.73424215
0.061644454,-0.038902136,61.64445443,-38.90213584
-0.025122952,-0.083174157,-25.12295195,-83.17415697
-0.020148176,-0.02053108,-20.1481759,-20.53108033
-0.075914678,0.02065808,-75.91467804,20.65808033
0.056100756,-0.012009676,56.10075563,-12.00967605
-0.122070807,0.036470285,-122.0708073,36.47028547
-0.047327465,-0.005752682,-47.32746491,-5.75268198
0.074862833,-0.061590983,74.86283274,-61.59098298
-0.031815174,-0.012093697,-31.8151738,-12.09369671
-0.003251254,-0.050509062,-3.251253623,-50.50906161
0.032633242,0.08639603,32.63324235,86.3960299
-0.067205749,0.119001088,-67.20574898,119.0010876
-0.067282168,0.036877282,-67.28216762,36.87728176
-0.04446365,-0.012306028,-44.46365013,-12.30602837
-0.013235973,0.011305886,-13.23597349,11.30588627
-0.002098557,-0.008166588,-2.098557128,-8.166588424
-0.031950373,-0.084951483,-31.95037291,-84.95148287
0.025554288,0.042111546,25.55428828,42.1115463
-0.02802141,0.025368047,-28.02141047,25.36804712
-0.096282913,-0.041514236,-96.28291337,-41.51423576
-0.053944628,0.014473684,-53.94462827,14.47368356
0.13922891,0.096440988,139.2289096,96.44098825
-0.064088014,0.038510123,-64.08801354,38.51012293
-0.013290531,-0.013360506,-13.29053083,-13.36050599
-0.094427432,-0.003268642,-94.4274323,-3.268641678
0.063332287,-0.087055487,63.33228663,-87.05548669
-0.065617132,0.005534996,-65.61713246,5.534995954
0.219217278,-0.00939792,219.2172777,-9.39792044
0.01022783,0.018532666,10.22782992,18.53266577
-0.00056601,0.060809695,-0.566009569,60.80969532
-0.022321002,0.089465177,-22.32100229,89.46517748
0.135907655,0.026238292,135.9076553,26.23829209
0.071240318,0.014200732,71.24031803,14.20073177
0.083718145,0.083589265,83.71814496,83.58926535
0.238427504,-0.023360564,238.4275043,-23.3605643
0.061063187,-0.072896127,61.06318651,-72.8961268
0.002283253,-0.030997206,2.2832532,-30.99720648
0.132069521,0.064150936,132.0695214,64.15093595
0.058675853,-0.015158203,58.67585307,-15.15820316
-0.08385221,-0.018468924,-83.85220975,-18.46892436
-0.06153296,-0.021797537,-61.53295967,-21.79753749
0.020639528,-0.04265564,20.63952848,-42.65564003
-0.002778612,0.058322469,-2.778611579,58.32246878
-0.136037241,0.015462354,-136.0372406,15.46235413
0.02702888,0.100218571,27.0288797,100.2185707
-0.110143816,0.045992143,-110.1438165,45.99214302
-0.065461806,0.015991664,-65.46180627,15.99166367
0.172866334,0.071449485,172.8663338,71.44948491
0.08285438,-0.048129658,82.85438046,-48.12965838
-0.148697294,-0.003057173,-148.6972936,-3.057172961
-0.016426078,0.059295558,-16.42607825,59.29555844
-0.176113866,0.048157817,-176.1138658,48.15781656
-0.040825119,-0.011403967,-40.82511931,-11.40396678
-0.007073709,-0.029516827,-7.073708642,-29.5168269
-0.020780422,-0.052738161,-20.78042157,-52.7381609
0.019123162,-0.041218728,19.12316155,-41.21872754
0.057117963,-0.032870416,57.11796314,-32.87041587
0.044195567,-0.024231485,44.19556671,-24.23148519
-0.055666978,-0.033147446,-55.66697772,-33.14744578
-0.044889543,-0.034948167,-44.88954254,-34.94816709
0.012192797,0.025440544,12.19279659,25.44054385
0.053497446,0.123429846,53.49744615,123.4298465
-0.053882664,0.009175576,-53.88266363,9.175575532
0.08761641,0.002934653,87.61640983,2.934652558
0.078817102,0.031514241,78.8171024,31.51424116
-0.015250885,0.001735458,-15.25088472,1.735457809
-0.028292426,0.115653812,-28.29242645,115.6538124
-0.092644104,-0.011608754,-92.64410442,-11.60875355
0.153877716,0.007266762,153.8777157,7.266761778
0.008177275,-0.045670605,8.177275022,-45.67060494
0.121576503,0.035444062,121.5765029,35.44406229
-0.007659353,0.025316573,-7.659353047,25.3165733
-0.050286241,-0.017048665,-50.28624063,-17.04866452
-0.025106228,0.006363453,-25.10622756,6.363452775
-0.012124556,0.078754479,-12.12455555,78.75447949
-0.0808656,-0.047268024,-80.86560044,-47.26802371
-0.003983803,-0.122005214,-3.983802757,-122.0052144
-0.067590926,0.014960483,-67.59092579,14.96048347
0.028957962,-0.059351011,28.95796221,-59.35101087
-0.045490271,0.024253856,-45.49027091,24.25385638
-0.073003152,-0.009952588,-73.0031522,-9.952588086
-0.018912001,0.006044051,-18.91200114,6.044050974
0.011975792,-0.018098029,11.97579223,-18.09802916
0.081562545,-0.011099195,81.56254519,-11.09919496
0.028451805,-0.050461763,28.45180472,-50.46176342
-0.068403597,-0.004311329,-68.4035969,-4.311329339
-0.074127955,-0.074504187,-74.12795471,-74.50418748
0.06812346,-0.01503511,68.12345958,-15.03511024
-0.057864198,-0.047377182,-57.86419838,-47.37718244
-0.035833921,-0.037978325,-35.83392071,-37.97832476
-0.12062834,-0.038508035,-120.6283404,-38.50803476
-0.019887094,0.049652267,-19.88709364,49.65226745
0.012935421,0.016156703,12.9354213,16.15670296
0.003444406,-0.026125731,3.444405859,-26.12573081
0.077913996,-0.07799671,77.91399558,-77.99671014
0.041828697,-0.120165938,41.82869729,-120.1659381
-0.004629603,-0.020869143,-4.629603233,-20.86914325
-0.174153425,-0.025574524,-174.1534245,-25.57452447
-0.088656664,-0.003919912,-88.6566636,-3.919912063
-0.107759905,0.029778809,-107.7599048,29.77880948
-0.080642875,-0.025589791,-80.64287548,-25.58979103
-0.030408043,-0.024584736,-30.40804342,-24.58473574
0.029538632,-0.09513315,29.53863197,-95.13314956
0.046094465,-0.006649795,46.0944654,-6.649795228
0.115283214,-0.041784683,115.2832141,-41.78468311
0.012176393,0.038611613,12.17639292,38.61161304
-0.106071473,0.040005243,-106.0714726,40.00524292
-0.029534041,0.075784667,-29.53404145,75.78466718
-0.128916156,-0.025655647,-128.9161563,-25.65564666
-0.075092273,0.063149578,-75.09227339,63.14957787
0.051889906,-0.030741535,51.88990568,-30.74153516
-0.079275847,0.076187574,-79.27584695,76.18757419
-0.00445606,-0.056858379,-4.456059696,-56.85837908
0.159601288,-0.061249195,159.6012876,-61.24919474
0.077133813,0.033987052,77.13381289,33.98705161
-0.04585497,-0.041182586,-45.85497,-41.1825858
-0.113691752,0.007812422,-113.6917525,7.812421546
0.046977147,0.079313715,46.97714739,79.31371513
-0.063561554,0.000601016,-63.5615543,0.601015843
-0.015423373,-0.07864498,-15.4233728,-78.6449795
0.024940635,-0.03376249,24.94063523,-33.7624896
-0.085472823,-0.0094997,-85.47282325,-9.499700307
0.05839664,0.034421785,58.39664037,34.42178492
0.240598529,-0.038655518,240.5985288,-38.65551797
0.035684194,-0.031238186,35.68419367,-31.23818567
0.104377255,-0.019361306,104.3772552,-19.36130592
0.044544143,-0.020127574,44.54414312,-20.12757392
0.099367011,-0.041673892,99.36701074,-41.67389238
0.047942383,0.029755841,47.94238327,29.75584131
-0.121238937,-0.047366977,-121.2389374,-47.36697663
0.016242111,-0.036669518,16.24211116,-36.66951844
-0.069187699,-0.047655052,-69.18769852,-47.65505173
0.048603229,-0.058023797,48.60322948,-58.02379671
0.03995694,-0.066134068,39.95693974,-66.13406776
0.023926885,-0.028850022,23.9268853,-28.85002215
0.002559339,-0.006840409,2.559339306,-6.840409214
-0.137573909,-0.029619042,-137.5739087,-29.61904245
0.064478257,-0.005399599,64.4782569,-5.399599443
0.009043658,-0.04286879,9.043657714,-42.8687897
0.095659749,-0.048823619,95.65974926,-48.82361868
0.01878972,-0.042523,18.7897203,-42.52299968
-0.131184669,-0.065019359,-131.184669,-65.01935918
0.053885963,-0.019025261,53.88596331,-19.0252607
-0.022483539,0.011826919,-22.48353901,11.82691927
-0.041526966,-0.01470716,-41.52696635,-14.70715951
0.065136731,0.071717367,65.13673074,71.71736663
